createUtilizator,2024-05-29 16:23:07
getUtilizatorByUsername,2024-05-29 16:23:07
getUtilizatorByUsername,2024-05-29 16:23:07
getAllUtilizatori,2024-05-29 16:23:07
updateUtilizator,2024-05-29 16:23:07
deleteUtilizator,2024-05-29 16:23:07
createPlata,2024-05-29 16:23:07
getPlata,2024-05-29 16:23:08
getAllPlati,2024-05-29 16:23:08
updatePlata,2024-05-29 16:23:08
deletePlata,2024-05-29 16:23:08
createMesajAplicatie,2024-05-29 16:23:08
getMesajAplicatie,2024-05-29 16:23:08
getAllMesajeAplicatie,2024-05-29 16:23:08
updateMesajAplicatie,2024-05-29 16:23:08
deleteMesajAplicatie,2024-05-29 16:23:08
createRating,2024-05-29 16:23:08
getRating,2024-05-29 16:23:08
getAllRating,2024-05-29 16:23:08
updateRating,2024-05-29 16:23:08
